ID_Producto,Nombre,Cantidad,PrecioUnitario,Fecha
ACC002,Funda Silicona Transparente Genérica,2,12.99,2025-03-10
CEL006,Oppo Find X5 Lite,1,480.75,2025-02-06
CEL004,Google Pixel 7a,5,550.00,2025-03-18
ACC001,Cargador Rápido USB-C 30W,2,28.50,2025-01-28
ACC005,Power Bank 10000mAh Slim,2,32.00,2025-01-17
ACC005,Power Bank 10000mAh Slim,5,32.00,2025-01-28
CEL004,Google Pixel 7a,3,550.00,2025-02-01
ACC006,Soporte Celular para Escritorio,1,15.75,2025-03-24
CEL001,Samsung Galaxy S23 128GB,4,950.99,2025-03-31
ACC006,Soporte Celular para Escritorio,3,15.75,2025-03-20
CEL001,Samsung Galaxy S23 128GB,5,950.99,2025-02-15
ACC003,Auriculares Inalámbricos Bluetooth TWS,1,45.00,2025-02-14
CEL001,Samsung Galaxy S23 128GB,4,950.99,2025-03-20
ACC003,Auriculares Inalámbricos Bluetooth TWS,5,45.00,2025-01-01
CEL003,Xiaomi Redmi Note 12 64GB,2,230.50,2025-03-13
CEL004,Google Pixel 7a,4,550.00,2025-01-30
CEL001,Samsung Galaxy S23 128GB,1,950.99,2025-02-05
ACC006,Soporte Celular para Escritorio,4,15.75,2025-02-07
CEL003,Xiaomi Redmi Note 12 64GB,4,230.50,2025-01-31
CEL003,Xiaomi Redmi Note 12 64GB,1,230.50,2025-02-19
CEL006,Oppo Find X5 Lite,1,480.75,2025-02-21
ACC006,Soporte Celular para Escritorio,4,15.75,2025-01-03
CEL004,Google Pixel 7a,2,550.00,2025-03-01
CEL002,iPhone 14 Pro 256GB,5,1150.00,2025-03-12
ACC006,Soporte Celular para Escritorio,5,15.75,2025-02-07
ACC004,Protector Pantalla Hidrogel Premium,4,9.95,2025-03-20
ACC003,Auriculares Inalámbricos Bluetooth TWS,4,45.00,2025-01-25
CEL003,Xiaomi Redmi Note 12 64GB,4,230.50,2025-03-13
CEL004,Google Pixel 7a,2,550.00,2025-02-08
ACC007,Cable USB-C a USB-C 1m,4,8.99,2025-01-10
ACC006,Soporte Celular para Escritorio,4,15.75,2025-03-09
CEL005,Motorola Moto G Power (2023),1,299.99,2025-01-11
ACC003,Auriculares Inalámbricos Bluetooth TWS,5,45.00,2025-03-10
CEL003,Xiaomi Redmi Note 12 64GB,3,230.50,2025-03-26
ACC004,Protector Pantalla Hidrogel Premium,4,9.95,2025-03-13
CEL003,Xiaomi Redmi Note 12 64GB,1,230.50,2025-02-04
CEL003,Xiaomi Redmi Note 12 64GB,1,230.50,2025-02-24
ACC002,Funda Silicona Transparente Genérica,3,12.99,2025-01-20
ACC001,Cargador Rápido USB-C 30W,1,28.50,2025-02-13
CEL004,Google Pixel 7a,1,550.00,2025-03-01
ACC005,Power Bank 10000mAh Slim,2,32.00,2025-03-27
ACC001,Cargador Rápido USB-C 30W,3,28.50,2025-01-28
CEL005,Motorola Moto G Power (2023),5,299.99,2025-02-12
