Ciudad,Fecha,Temperatura (°C),Velocidad del Viento (m/s),Precipitación (mm),Humedad Relativa (%),Nubosidad (%),Año,Mes,Día,Hora
Armenia,2025-05-06 17:00:00,21.5,1.5,3.0,82,100,2025,5,6,17
Armenia,2025-05-06 18:00:00,20.6,2.2,3.0,87,100,2025,5,6,18
Armenia,2025-05-06 19:00:00,19.8,2.5,3.0,90,100,2025,5,6,19
Armenia,2025-05-06 20:00:00,19.4,2.3,2.7,90,100,2025,5,6,20
Armenia,2025-05-06 21:00:00,19.2,1.6,2.7,89,100,2025,5,6,21
Armenia,2025-05-06 22:00:00,18.9,1.0,2.7,89,100,2025,5,6,22
Armenia,2025-05-06 23:00:00,18.5,0.5,1.0,92,100,2025,5,6,23
Armenia,2025-05-07 00:00:00,17.9,0.0,1.0,97,100,2025,5,7,0
Armenia,2025-05-07 01:00:00,17.5,0.4,1.0,100,100,2025,5,7,1
Armenia,2025-05-07 02:00:00,17.3,1.1,0.1,100,100,2025,5,7,2
Armenia,2025-05-07 03:00:00,17.1,2.9,0.1,99,100,2025,5,7,3
Armenia,2025-05-07 04:00:00,17.1,3.6,0.1,97,100,2025,5,7,4
Armenia,2025-05-07 05:00:00,17.1,2.2,0.1,96,91,2025,5,7,5
Armenia,2025-05-07 06:00:00,17.2,1.3,0.1,96,81,2025,5,7,6
Armenia,2025-05-07 07:00:00,17.6,3.2,0.1,94,72,2025,5,7,7
Armenia,2025-05-07 08:00:00,18.7,4.8,0.0,90,81,2025,5,7,8
Armenia,2025-05-07 09:00:00,20.2,6.3,0.0,85,91,2025,5,7,9
Armenia,2025-05-07 10:00:00,21.5,7.1,0.0,81,100,2025,5,7,10
Armenia,2025-05-07 11:00:00,22.2,6.8,0.0,78,100,2025,5,7,11
Armenia,2025-05-07 12:00:00,22.8,5.9,0.0,76,100,2025,5,7,12
Armenia,2025-05-07 13:00:00,23.1,5.1,0.0,74,100,2025,5,7,13
Armenia,2025-05-07 14:00:00,23.2,4.7,0.0,72,100,2025,5,7,14
Armenia,2025-05-07 15:00:00,23.2,4.3,0.0,70,100,2025,5,7,15
Armenia,2025-05-07 16:00:00,22.8,3.6,0.0,71,100,2025,5,7,16
Armenia,2025-05-07 17:00:00,21.9,1.4,2.0,76,100,2025,5,7,17
Armenia,2025-05-07 18:00:00,20.8,1.1,2.0,84,100,2025,5,7,18
Armenia,2025-05-07 19:00:00,19.8,2.6,2.0,89,100,2025,5,7,19
Armenia,2025-05-07 20:00:00,19.4,1.8,0.6,90,100,2025,5,7,20
Armenia,2025-05-07 21:00:00,19.2,0.8,0.6,89,100,2025,5,7,21
Armenia,2025-05-07 22:00:00,19.0,1.3,0.6,89,100,2025,5,7,22
Armenia,2025-05-07 23:00:00,18.8,0.7,0.9,90,100,2025,5,7,23
Armenia,2025-05-08 00:00:00,18.5,1.8,0.9,92,100,2025,5,8,0
Armenia,2025-05-08 01:00:00,18.2,2.5,0.9,93,100,2025,5,8,1
Armenia,2025-05-08 02:00:00,18.0,1.8,0.0,92,92,2025,5,8,2
Armenia,2025-05-08 03:00:00,17.7,1.0,0.0,91,85,2025,5,8,3
Armenia,2025-05-08 04:00:00,17.5,1.1,0.0,91,77,2025,5,8,4
Armenia,2025-05-08 05:00:00,17.2,1.1,0.0,93,81,2025,5,8,5
Armenia,2025-05-08 06:00:00,16.9,1.6,0.0,96,85,2025,5,8,6
Armenia,2025-05-08 07:00:00,17.1,2.8,0.0,97,89,2025,5,8,7
Armenia,2025-05-08 08:00:00,18.3,4.5,0.0,93,88,2025,5,8,8
Armenia,2025-05-08 09:00:00,19.9,6.6,0.0,88,86,2025,5,8,9
Armenia,2025-05-08 10:00:00,21.2,8.0,0.0,83,85,2025,5,8,10
Armenia,2025-05-08 11:00:00,22.0,7.5,0.5,81,90,2025,5,8,11
Armenia,2025-05-08 12:00:00,22.4,6.4,0.5,80,95,2025,5,8,12
Armenia,2025-05-08 13:00:00,22.7,5.0,0.5,79,100,2025,5,8,13
Armenia,2025-05-08 14:00:00,23.0,4.2,0.5,77,100,2025,5,8,14
Armenia,2025-05-08 15:00:00,23.3,3.3,0.5,75,100,2025,5,8,15
Armenia,2025-05-08 16:00:00,23.1,3.2,0.5,75,100,2025,5,8,16
Armenia,2025-05-08 17:00:00,22.5,2.9,0.7,79,100,2025,5,8,17
Armenia,2025-05-08 18:00:00,21.5,2.5,0.7,85,100,2025,5,8,18
Armenia,2025-05-08 19:00:00,20.6,2.4,0.7,90,100,2025,5,8,19
Armenia,2025-05-08 20:00:00,19.9,2.3,0.9,94,100,2025,5,8,20
Armenia,2025-05-08 21:00:00,19.3,1.9,0.9,97,100,2025,5,8,21
Armenia,2025-05-08 22:00:00,18.8,1.6,0.9,99,100,2025,5,8,22
Armenia,2025-05-08 23:00:00,18.4,1.6,0.4,100,100,2025,5,8,23
Armenia,2025-05-09 00:00:00,18.1,1.3,0.4,100,100,2025,5,9,0
Armenia,2025-05-09 01:00:00,17.8,1.3,0.4,100,100,2025,5,9,1
Armenia,2025-05-09 02:00:00,17.6,1.3,0.2,100,98,2025,5,9,2
Armenia,2025-05-09 03:00:00,17.4,0.8,0.2,100,97,2025,5,9,3
Armenia,2025-05-09 04:00:00,17.3,0.8,0.2,100,95,2025,5,9,4
Armenia,2025-05-09 05:00:00,17.1,0.8,0.1,100,93,2025,5,9,5
Armenia,2025-05-09 06:00:00,17.1,1.5,0.1,100,91,2025,5,9,6
Armenia,2025-05-09 07:00:00,17.5,1.9,0.1,99,89,2025,5,9,7
Armenia,2025-05-09 08:00:00,18.7,3.3,0.0,94,85,2025,5,9,8
Armenia,2025-05-09 09:00:00,20.5,6.0,0.0,87,80,2025,5,9,9
Armenia,2025-05-09 10:00:00,21.9,7.8,0.0,81,76,2025,5,9,10
Armenia,2025-05-09 11:00:00,22.9,8.1,0.3,77,84,2025,5,9,11
Armenia,2025-05-09 12:00:00,23.5,8.1,0.3,74,92,2025,5,9,12
Armenia,2025-05-09 13:00:00,24.0,7.6,0.3,72,100,2025,5,9,13
Armenia,2025-05-09 14:00:00,24.3,7.2,0.4,71,100,2025,5,9,14
Armenia,2025-05-09 15:00:00,24.4,6.7,0.4,71,100,2025,5,9,15
Armenia,2025-05-09 16:00:00,24.1,5.9,0.4,73,100,2025,5,9,16
Armenia,2025-05-09 17:00:00,23.3,4.3,0.2,77,100,2025,5,9,17
Armenia,2025-05-09 18:00:00,22.2,3.0,0.2,83,100,2025,5,9,18
Armenia,2025-05-09 19:00:00,21.1,2.3,0.2,88,100,2025,5,9,19
Armenia,2025-05-09 20:00:00,20.3,2.3,0.1,91,100,2025,5,9,20
Armenia,2025-05-09 21:00:00,19.5,2.4,0.1,94,100,2025,5,9,21
Armenia,2025-05-09 22:00:00,18.8,2.6,0.1,96,100,2025,5,9,22
Armenia,2025-05-09 23:00:00,18.3,2.5,0.1,98,99,2025,5,9,23
Manizales,2025-05-03 00:00:00,15.5,3.0,0.0,98,100,2025,5,3,0
Manizales,2025-05-03 01:00:00,15.2,2.5,0.0,99,100,2025,5,3,1
Manizales,2025-05-03 02:00:00,15.0,1.8,0.0,99,100,2025,5,3,2
Manizales,2025-05-03 03:00:00,15.0,2.3,0.0,98,100,2025,5,3,3
Manizales,2025-05-03 04:00:00,15.3,2.9,0.0,93,100,2025,5,3,4
Manizales,2025-05-03 05:00:00,15.2,3.8,0.0,91,100,2025,5,3,5
Manizales,2025-05-03 06:00:00,15.1,5.5,0.0,87,100,2025,5,3,6
Manizales,2025-05-03 07:00:00,16.0,5.2,0.0,85,100,2025,5,3,7
Manizales,2025-05-03 08:00:00,17.5,4.5,0.0,83,100,2025,5,3,8
Manizales,2025-05-03 09:00:00,18.2,4.5,0.0,83,100,2025,5,3,9
Manizales,2025-05-03 10:00:00,19.1,5.8,0.0,81,99,2025,5,3,10
Manizales,2025-05-03 11:00:00,19.2,8.0,0.0,80,99,2025,5,3,11
Manizales,2025-05-03 12:00:00,19.3,10.1,0.7,83,100,2025,5,3,12
Manizales,2025-05-03 13:00:00,19.5,7.7,1.9,84,100,2025,5,3,13
Manizales,2025-05-03 14:00:00,18.4,7.4,3.2,88,100,2025,5,3,14
Manizales,2025-05-03 15:00:00,17.7,6.3,3.5,91,100,2025,5,3,15
Manizales,2025-05-03 16:00:00,17.5,5.5,4.4,93,100,2025,5,3,16
Manizales,2025-05-03 17:00:00,16.9,4.8,3.4,94,100,2025,5,3,17
Manizales,2025-05-03 18:00:00,16.4,3.6,2.1,96,100,2025,5,3,18
Manizales,2025-05-03 19:00:00,16.2,3.4,0.1,96,100,2025,5,3,19
Manizales,2025-05-03 20:00:00,16.1,2.6,0.3,97,100,2025,5,3,20
Manizales,2025-05-03 21:00:00,16.1,2.3,0.2,97,100,2025,5,3,21
Manizales,2025-05-03 22:00:00,16.2,2.5,0.2,98,100,2025,5,3,22
Manizales,2025-05-03 23:00:00,16.1,2.3,0.0,98,100,2025,5,3,23
Manizales,2025-05-04 00:00:00,15.9,1.8,0.0,99,100,2025,5,4,0
Manizales,2025-05-04 01:00:00,15.7,2.8,0.0,99,100,2025,5,4,1
Manizales,2025-05-04 02:00:00,15.4,2.6,0.0,100,100,2025,5,4,2
Manizales,2025-05-04 03:00:00,15.3,1.8,0.6,99,100,2025,5,4,3
Manizales,2025-05-04 04:00:00,15.3,0.7,0.4,98,100,2025,5,4,4
Manizales,2025-05-04 05:00:00,15.4,1.8,0.3,98,100,2025,5,4,5
Manizales,2025-05-04 06:00:00,15.3,2.3,0.0,96,97,2025,5,4,6
Manizales,2025-05-04 07:00:00,15.7,1.9,0.0,96,100,2025,5,4,7
Manizales,2025-05-04 08:00:00,16.4,3.1,0.0,93,100,2025,5,4,8
Manizales,2025-05-04 09:00:00,17.5,4.5,0.0,88,100,2025,5,4,9
Manizales,2025-05-04 10:00:00,17.4,6.5,0.0,89,100,2025,5,4,10
Manizales,2025-05-04 11:00:00,17.9,7.6,0.3,91,97,2025,5,4,11
Manizales,2025-05-04 12:00:00,18.1,8.6,2.8,90,100,2025,5,4,12
Manizales,2025-05-04 13:00:00,18.1,8.0,4.1,90,100,2025,5,4,13
Manizales,2025-05-04 14:00:00,18.3,7.8,2.3,89,100,2025,5,4,14
Manizales,2025-05-04 15:00:00,18.1,8.0,3.1,89,100,2025,5,4,15
Manizales,2025-05-04 16:00:00,17.1,8.9,3.4,93,100,2025,5,4,16
Manizales,2025-05-04 17:00:00,16.2,6.6,3.8,96,100,2025,5,4,17
Manizales,2025-05-04 18:00:00,15.9,5.2,2.4,96,100,2025,5,4,18
Manizales,2025-05-04 19:00:00,15.6,5.0,1.6,97,100,2025,5,4,19
Manizales,2025-05-04 20:00:00,15.4,4.5,1.1,98,100,2025,5,4,20
Manizales,2025-05-04 21:00:00,15.2,3.7,0.6,99,100,2025,5,4,21
Manizales,2025-05-04 22:00:00,15.2,2.6,0.0,99,100,2025,5,4,22
Manizales,2025-05-04 23:00:00,15.1,2.3,0.0,100,100,2025,5,4,23
Manizales,2025-05-05 00:00:00,15.0,2.1,0.0,100,100,2025,5,5,0
Manizales,2025-05-05 01:00:00,14.9,1.8,0.0,100,100,2025,5,5,1
Manizales,2025-05-05 02:00:00,14.9,1.8,0.0,98,100,2025,5,5,2
Manizales,2025-05-05 03:00:00,14.8,0.8,0.0,98,100,2025,5,5,3
Manizales,2025-05-05 04:00:00,14.7,1.1,0.1,99,100,2025,5,5,4
Manizales,2025-05-05 05:00:00,14.7,0.8,0.2,99,100,2025,5,5,5
Manizales,2025-05-05 06:00:00,14.8,0.5,0.1,98,100,2025,5,5,6
Manizales,2025-05-05 07:00:00,15.1,0.8,0.0,97,100,2025,5,5,7
Manizales,2025-05-05 08:00:00,15.8,2.9,0.3,96,100,2025,5,5,8
Manizales,2025-05-05 09:00:00,16.7,2.9,0.2,93,98,2025,5,5,9
Manizales,2025-05-05 10:00:00,17.0,7.2,1.1,93,100,2025,5,5,10
Manizales,2025-05-05 11:00:00,17.7,8.8,1.6,92,100,2025,5,5,11
Manizales,2025-05-05 12:00:00,16.9,8.0,3.6,94,100,2025,5,5,12
Manizales,2025-05-05 13:00:00,16.8,7.4,3.1,94,100,2025,5,5,13
Manizales,2025-05-05 14:00:00,16.6,6.8,2.6,94,100,2025,5,5,14
Manizales,2025-05-05 15:00:00,16.7,6.5,1.2,93,100,2025,5,5,15
Manizales,2025-05-05 16:00:00,16.4,6.0,1.0,93,100,2025,5,5,16
Manizales,2025-05-05 17:00:00,16.2,3.6,0.5,93,100,2025,5,5,17
Manizales,2025-05-05 18:00:00,15.6,3.7,0.1,95,100,2025,5,5,18
Manizales,2025-05-05 19:00:00,15.3,3.0,0.0,97,100,2025,5,5,19
Manizales,2025-05-05 20:00:00,15.1,2.2,0.0,97,100,2025,5,5,20
Manizales,2025-05-05 21:00:00,15.1,1.8,0.0,97,100,2025,5,5,21
Manizales,2025-05-05 22:00:00,15.0,2.4,0.0,97,100,2025,5,5,22
Manizales,2025-05-05 23:00:00,15.1,2.9,0.0,96,100,2025,5,5,23
Manizales,2025-05-06 00:00:00,15.4,2.5,0.1,91,100,2025,5,6,0
Manizales,2025-05-06 01:00:00,15.0,2.5,0.1,95,100,2025,5,6,1
Manizales,2025-05-06 02:00:00,15.0,2.3,0.0,95,100,2025,5,6,2
Manizales,2025-05-06 03:00:00,14.9,2.3,0.0,96,100,2025,5,6,3
Manizales,2025-05-06 04:00:00,14.9,2.6,0.0,96,100,2025,5,6,4
Manizales,2025-05-06 05:00:00,15.0,2.6,0.0,96,100,2025,5,6,5
Manizales,2025-05-06 06:00:00,15.2,2.5,0.0,95,100,2025,5,6,6
Manizales,2025-05-06 07:00:00,15.7,2.1,0.0,93,100,2025,5,6,7
Manizales,2025-05-06 08:00:00,16.6,1.6,0.0,90,99,2025,5,6,8
Manizales,2025-05-06 09:00:00,17.7,4.2,0.0,85,99,2025,5,6,9
Manizales,2025-05-06 10:00:00,18.4,6.6,0.0,83,98,2025,5,6,10
Manizales,2025-05-06 11:00:00,18.6,7.9,2.2,84,99,2025,5,6,11
Manizales,2025-05-06 12:00:00,18.4,9.0,2.2,87,99,2025,5,6,12
Manizales,2025-05-06 13:00:00,18.2,9.2,2.2,90,100,2025,5,6,13
Manizales,2025-05-06 14:00:00,17.8,8.3,2.9,91,100,2025,5,6,14
Manizales,2025-05-06 15:00:00,17.4,6.9,2.9,91,100,2025,5,6,15
Manizales,2025-05-06 16:00:00,16.9,5.6,2.9,92,100,2025,5,6,16
Manizales,2025-05-06 17:00:00,16.5,4.6,0.3,93,100,2025,5,6,17
Manizales,2025-05-06 18:00:00,16.2,3.9,0.3,94,100,2025,5,6,18
Manizales,2025-05-06 19:00:00,15.9,3.3,0.3,95,100,2025,5,6,19
Manizales,2025-05-06 20:00:00,15.7,3.0,0.0,94,100,2025,5,6,20
Manizales,2025-05-06 21:00:00,15.7,2.9,0.0,93,100,2025,5,6,21
Manizales,2025-05-06 22:00:00,15.6,3.1,0.0,92,100,2025,5,6,22
Manizales,2025-05-06 23:00:00,15.5,3.1,0.0,92,100,2025,5,6,23
Manizales,2025-05-07 00:00:00,15.2,2.8,0.0,93,100,2025,5,7,0
Manizales,2025-05-07 01:00:00,15.1,2.6,0.0,94,100,2025,5,7,1
Manizales,2025-05-07 02:00:00,14.9,2.3,0.0,95,100,2025,5,7,2
Manizales,2025-05-07 03:00:00,14.9,2.0,0.0,96,100,2025,5,7,3
Manizales,2025-05-07 04:00:00,14.9,1.8,0.0,96,100,2025,5,7,4
Manizales,2025-05-07 05:00:00,15.0,2.2,0.0,96,93,2025,5,7,5
Manizales,2025-05-07 06:00:00,15.1,2.5,0.0,95,87,2025,5,7,6
Manizales,2025-05-07 07:00:00,15.6,2.3,0.0,94,80,2025,5,7,7
Manizales,2025-05-07 08:00:00,16.5,1.3,0.0,91,87,2025,5,7,8
Manizales,2025-05-07 09:00:00,17.6,5.2,0.0,87,93,2025,5,7,9
Manizales,2025-05-07 10:00:00,18.5,8.4,0.0,84,100,2025,5,7,10
Manizales,2025-05-07 11:00:00,18.9,9.0,2.1,83,100,2025,5,7,11
Manizales,2025-05-07 12:00:00,19.1,8.7,2.1,84,100,2025,5,7,12
Manizales,2025-05-07 13:00:00,19.0,8.1,2.1,85,100,2025,5,7,13
Manizales,2025-05-07 14:00:00,18.6,7.6,0.9,85,100,2025,5,7,14
Manizales,2025-05-07 15:00:00,18.0,6.9,0.9,86,100,2025,5,7,15
Manizales,2025-05-07 16:00:00,17.4,5.9,0.9,87,100,2025,5,7,16
Manizales,2025-05-07 17:00:00,16.9,4.8,0.0,89,100,2025,5,7,17
Manizales,2025-05-07 18:00:00,16.5,3.4,0.0,91,100,2025,5,7,18
Manizales,2025-05-07 19:00:00,16.2,2.5,0.0,93,100,2025,5,7,19
Manizales,2025-05-07 20:00:00,15.9,2.2,0.0,95,100,2025,5,7,20
Manizales,2025-05-07 21:00:00,15.8,2.1,0.0,97,100,2025,5,7,21
Manizales,2025-05-07 22:00:00,15.7,2.0,0.0,97,100,2025,5,7,22
Manizales,2025-05-07 23:00:00,15.7,1.8,0.1,95,100,2025,5,7,23
Manizales,2025-05-08 00:00:00,15.8,1.5,0.1,92,100,2025,5,8,0
Manizales,2025-05-08 01:00:00,15.8,1.3,0.1,90,100,2025,5,8,1
Manizales,2025-05-08 02:00:00,15.6,1.5,0.0,90,98,2025,5,8,2
Manizales,2025-05-08 03:00:00,15.4,2.5,0.0,90,95,2025,5,8,3
Manizales,2025-05-08 04:00:00,15.2,2.9,0.0,90,93,2025,5,8,4
Manizales,2025-05-08 05:00:00,15.2,3.3,0.0,90,94,2025,5,8,5
Manizales,2025-05-08 06:00:00,15.3,3.4,0.0,89,94,2025,5,8,6
Manizales,2025-05-08 07:00:00,15.7,2.7,0.0,88,95,2025,5,8,7
Manizales,2025-05-08 08:00:00,16.6,0.8,0.0,87,93,2025,5,8,8
Manizales,2025-05-08 09:00:00,17.8,4.3,0.0,85,91,2025,5,8,9
Manizales,2025-05-08 10:00:00,18.7,7.2,0.0,84,89,2025,5,8,10
Manizales,2025-05-08 11:00:00,19.3,8.3,1.8,83,93,2025,5,8,11
Manizales,2025-05-08 12:00:00,19.6,8.3,1.8,82,96,2025,5,8,12
Manizales,2025-05-08 13:00:00,19.7,8.0,1.8,82,100,2025,5,8,13
Manizales,2025-05-08 14:00:00,19.4,7.4,2.3,83,100,2025,5,8,14
Manizales,2025-05-08 15:00:00,18.8,7.1,2.3,86,100,2025,5,8,15
Manizales,2025-05-08 16:00:00,18.2,6.0,2.3,88,100,2025,5,8,16
Manizales,2025-05-08 17:00:00,17.6,4.1,0.4,90,100,2025,5,8,17
Manizales,2025-05-08 18:00:00,17.0,2.2,0.4,92,100,2025,5,8,18
Manizales,2025-05-08 19:00:00,16.5,2.5,0.4,93,100,2025,5,8,19
Manizales,2025-05-08 20:00:00,16.4,2.9,0.0,91,100,2025,5,8,20
Manizales,2025-05-08 21:00:00,16.4,2.9,0.0,88,100,2025,5,8,21
Manizales,2025-05-08 22:00:00,16.4,2.9,0.0,86,100,2025,5,8,22
Manizales,2025-05-08 23:00:00,16.3,2.9,0.0,85,86,2025,5,8,23
Manizales,2025-05-09 00:00:00,16.2,2.7,0.0,84,73,2025,5,9,0
Manizales,2025-05-09 01:00:00,16.1,3.1,0.0,84,59,2025,5,9,1
Manizales,2025-05-09 02:00:00,16.0,3.7,0.0,83,59,2025,5,9,2
Manizales,2025-05-09 03:00:00,15.8,4.3,0.0,82,60,2025,5,9,3
Manizales,2025-05-09 04:00:00,15.7,4.7,0.0,82,60,2025,5,9,4
Manizales,2025-05-09 05:00:00,15.6,4.7,0.0,83,52,2025,5,9,5
Manizales,2025-05-09 06:00:00,15.6,4.4,0.0,84,44,2025,5,9,6
Manizales,2025-05-09 07:00:00,16.0,3.0,0.0,85,36,2025,5,9,7
Manizales,2025-05-09 08:00:00,17.0,0.7,0.0,84,53,2025,5,9,8
Manizales,2025-05-09 09:00:00,18.3,4.0,0.0,81,69,2025,5,9,9
